system:index,akurasi,generatif,iddesa,nonsawah,persiapan,vegetatif1,vegetatif2,.geo
19,0.988,28.16924175336048,5103040006,59.3716415348308,54.50139171603327,73.09619416416518,17.90108321470972,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.988,10.481982129576421,5103040007,35.29752447179462,58.11818209528901,42.641826240892655,15.430276787935128,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.988,22.31804054278199,5103040004,51.81900830103268,55.744440879875675,48.93715846697655,33.30228641260482,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.988,17.34003331380206,5103040005,47.60938248620121,59.38703246993723,59.803027211339604,18.321694618386683,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.988,26.781400584441503,5103040013,17.039401674038757,30.2041806286142,50.448005393257915,19.38910400464824,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.988,36.38301480694948,5103040014,59.60306745945366,63.707319050963214,129.80208003733907,75.58881358592313,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.988,19.041237608618633,5103040011,118.08892798555311,28.349749143174122,88.78675012800672,74.36730184340553,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.988,37.85652322010712,5103040012,46.34149673844881,61.523703191923246,87.79308520750739,40.60144158316811,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.988,57.350818857350106,5103040010,62.45205430604209,92.15448979069724,142.96115276818344,23.140868568151113,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.988,79.19091486512465,5103040002,68.31362997673486,99.66944559839601,155.22755378059966,40.7126663962332,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.988,65.38135163574226,5103040003,73.80962353407928,31.892143082598515,117.87696815837803,30.270690629296393,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.988,109.04563589213019,5103040001,60.34105738923914,70.44442414413153,150.99269755715775,30.988890586655607,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.988,42.83898392767219,5103040019,32.48698121476713,98.80980010907348,118.36303643722236,64.72564674750843,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.988,14.041557242611157,5103040017,33.164604464745544,39.570370897037215,73.45676346885541,28.50233243586517,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.988,20.253690189436373,5103040018,10.452022241845244,38.395377514959705,50.01458865665211,21.585446682595624,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.988,34.993317969037314,5103040015,26.47161444705742,72.26981946712712,134.02182468666206,53.040227719463296,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.988,31.322715348522802,5103040016,66.18959950280298,68.3620686289348,105.64159522447719,53.71238378070907,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.988,6.73109708451813,5103040020,11.855071977048395,23.615994998851153,41.20009789541204,32.225594568696934,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.988,18.846317262573216,5103050009,46.47222610995436,54.544435252051294,90.75368645165524,36.040195324635185,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.988,14.42683956812239,5103050007,26.633454749995106,60.27156906126731,69.09672968340683,30.540242485052364,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.988,10.129968402422739,5103050008,73.51358242656606,64.63916884085842,62.43511598899684,20.569242180068084,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.988,20.282001414148674,5103050005,35.21339946293849,39.214102592917044,103.85284819080954,53.73606479452698,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.988,10.64928807063086,5103050006,36.82478214475153,31.332524905383494,76.08677784772085,40.606256763724595,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.988,11.979637733680903,5103050003,16.397785453215924,2.8633244023581126,37.591866117110925,40.23631382715551,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.988,16.20507896422144,5103050004,42.8288554895738,24.927105242058232,58.89443259064322,43.43889355244965,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.988,12.06607627959607,5103050012,18.79650070791206,38.324362834101684,145.53327543642365,57.1663874615119,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.988,5.430440119820399,5103050013,5.668690680589862,14.944673697378123,45.78597371451592,28.2302574209774,"{""type"":""MultiPoint"",""coordinates"":[]}"
